H
2,7
7,18
1,10
18,17
0,2
4,8
0,7
13,18
0,7
7,12
13,6
3,15
17,7
13,8
13,1
0,15
6,10
10,14
13,17
16,16
6,10
7,10
9,6
8,14
5,11
10,1
3,13
5,13
16,14
4,10
3,16
15,6
5,18
8,17
18,8
5,12
6,11
18,2
13,11
15,3
5,15
7,10
15,14
9,5
9,8
17,7
13,13
1,13
15,9
16,14
5,17
10,8
16,16
9,14
14,7
16,12
15,16
9,5
10,13
3,16
1,3
12,8
11,8
15,3
10,16
3,9
4,2
18,1
0,13
8,12
15,11
6,11
8,13
13,10
16,3
0,8
9,7
18,8
6,6
15,15
17,1
18,14
15,9
2,14
12,1
3,12
2,2
9,11
18,8
17,18
8,7
5,13
10,6
16,7
0,12
8,12
15,5
10,4
8,17
8,2
17,5
6,3
5,18
6,14
13,13
14,4
8,0
12,8
12,14
16,5
18,5
1,2
0,12
0,14
3,15
5,9
14,2
3,14
8,13
7,7
0,11
5,0
3,0
18,7
0,8
2,14
4,12
12,0
9,2
17,0
6,1
6,10
15,14
13,9
8,14
1,2
15,11
14,7
3,7
17,0
9,16
1,10
4,17
6,13
2,9
11,3
0,1
5,13
4,0
9,14
